FIPS,State,County,Education_Percent
1000,AL,Alabama,27.75513862
1001,AL,Autauga County,28.28267962
1003,AL,Baldwin County,32.79763704
1005,AL,Barbour County,11.46471523
1007,AL,Bibb County,11.46820664
1009,AL,Blount County,15.57902954
1011,AL,Bullock County,8.999728924
1013,AL,Butler County,13.76481313
1015,AL,Calhoun County,20.54510537
1017,AL,Chambers County,14.58503512
1019,AL,Cherokee County,15.94503914
1021,AL,Chilton County,15.24701597
1023,AL,Choctaw County,13.91420316
1025,AL,Clarke County,15.42653138
1027,AL,Clay County,15.23540306
1029,AL,Cleburne County,18.21195102
1031,AL,Coffee County,21.52883156
1033,AL,Colbert County,20.27185319
1035,AL,Conecuh County,13.12907592
1037,AL,Coosa County,14.87082546
1039,AL,Covington County,17.17751994
1041,AL,Crenshaw County,16.80579965
1043,AL,Cullman County,19.08653846
1045,AL,Dale County,19.32785528
1047,AL,Dallas County,17.00709609
1049,AL,DeKalb County,13.88040607
1051,AL,Elmore County,24.39434072
1053,AL,Escambia County,12.49068591
1055,AL,Etowah County,17.47691884
1057,AL,Fayette County,15.59714795
1059,AL,Franklin County,14.88939308
1061,AL,Geneva County,13.3164637
1063,AL,Greene County,12.47629882
1065,AL,Hale County,16.77367576
1067,AL,Henry County,21.67898129
1069,AL,Houston County,22.7681568
1071,AL,Jackson County,15.55027712
1073,AL,Jefferson County,35.93676101
1075,AL,Lamar County,11.5916955
1077,AL,Lauderdale County,27.08413547
1079,AL,Lawrence County,15.6201882
1081,AL,Lee County,41.33333333
1083,AL,Limestone County,30.3913009
1085,AL,Lowndes County,13.87341049
1087,AL,Macon County,20.73578595
1089,AL,Madison County,45.69029091
1091,AL,Marengo County,20.41447572
1093,AL,Marion County,12.83187973
1095,AL,Marshall County,21.32640991
1097,AL,Mobile County,25.15022409
1099,AL,Monroe County,11.357915
1101,AL,Montgomery County,34.27402754
1103,AL,Morgan County,23.24045456
1105,AL,Perry County,16.84897333
1107,AL,Pickens County,13.7452248
1109,AL,Pike County,27.3150062
1111,AL,Randolph County,20.51625239
1113,AL,Russell County,16.8519953
1115,AL,St. Clair County,19.94308097
1117,AL,Shelby County,46.19852639
1119,AL,Sumter County,19.02822637
1121,AL,Talladega County,16.82385049
1123,AL,Tallapoosa County,18.72500588
1125,AL,Tuscaloosa County,31.377681
1127,AL,Walker County,16.00240604
1129,AL,Washington County,16.20413485
1131,AL,Wilcox County,12.33588227
1133,AL,Winston County,13.37202486
2000,AK,Alaska,31.24227562
2013,AK,Aleutians East Borough,18.14345992
2016,AK,Aleutians West Census Area,17.52104055
2020,AK,Anchorage Municipality,37.67890075
2050,AK,Bethel Census Area,10.39190649
2060,AK,Bristol Bay Borough,25.14367816
2063,AK,"Chugach Census Area, Alaska",29.58239045
2066,AK,"Copper River Census Area, Alaska",28.35415535
2068,AK,Denali Borough,23.63199038
2070,AK,Dillingham Census Area,19.35033182
2090,AK,Fairbanks North Star Borough,33.70856275
2100,AK,Haines Borough,36.93864643
2105,AK,Hoonah-Angoon Census Area,23.29545455
2110,AK,Juneau City and Borough,40.45768189
2122,AK,Kenai Peninsula Borough,29.39084142
2130,AK,Ketchikan Gateway Borough,26.97045568
2150,AK,Kodiak Island Borough,28.60690634
2158,AK,Kusilvak Census Area,5.758637957
2164,AK,Lake and Peninsula Borough,18.40490798
2170,AK,Matanuska-Susitna Borough,24.28031961
2180,AK,Nome Census Area,17.45087435
2185,AK,North Slope Borough,14.92741715
2188,AK,Northwest Arctic Borough,12.38981391
2195,AK,Petersburg Census Area,27.45336577
2198,AK,Prince of Wales-Hyder Census Area,16.98389458
2220,AK,Sitka City and Borough,34.37141452
2230,AK,Skagway Municipality,27.74566474
2240,AK,Southeast Fairbanks Census Area,19.57637997
2275,AK,Wrangell City and Borough,18.87788779
2282,AK,Yakutat City and Borough,14.8241206
2290,AK,Yukon-Koyukuk Census Area,12.79103191
4000,AZ,Arizona,32.6103322
4001,AZ,Apache County,15.26852353
4003,AZ,Cochise County,27.65771519
4005,AZ,Coconino County,39.61938901
4007,AZ,Gila County,18.847189
4009,AZ,Graham County,14.5913219
4011,AZ,Greenlee County,20.4145937
4012,AZ,La Paz County,13.85510312
4013,AZ,Maricopa County,35.8580058
4015,AZ,Mohave County,14.88545564
4017,AZ,Navajo County,17.63149466
4019,AZ,Pima County,35.87062743
4021,AZ,Pinal County,22.15021581
4023,AZ,Santa Cruz County,24.06951855
4025,AZ,Yavapai County,29.60225254
4027,AZ,Yuma County,16.67198836
5000,AR,Arkansas,25.11137457
5001,AR,Arkansas County,15.32646048
5003,AR,Ashley County,12.17811159
5005,AR,Baxter County,18.74863949
5007,AR,Benton County,36.60753299
5009,AR,Boone County,16.31032146
5011,AR,Bradley County,15.76745528
5013,AR,Calhoun County,18.10395747
5015,AR,Carroll County,21.11782923
5017,AR,Chicot County,17.22803497
5019,AR,Clark County,25.49082976
5021,AR,Clay County,15.62134788
5023,AR,Cleburne County,18.26979629
5025,AR,Cleveland County,16.2479062
5027,AR,Columbia County,20.38193951
5029,AR,Conway County,18.16560335
5031,AR,Craighead County,27.76662204
5033,AR,Crawford County,19.30261218
5035,AR,Crittenden County,17.19515
5037,AR,Cross County,14.83420593
5039,AR,Dallas County,11.13285497
5041,AR,Desha County,13.03478609
5043,AR,Drew County,23.33150985
5045,AR,Faulkner County,33.19694073
5047,AR,Franklin County,13.16137566
5049,AR,Fulton County,15.72130415
5051,AR,Garland County,26.24650321
5053,AR,Grant County,20.93059813
5055,AR,Greene County,16.48897
5057,AR,Hempstead County,14.59561602
5059,AR,Hot Spring County,15.78442814
5061,AR,Howard County,16.67855445
5063,AR,Independence County,16.87103261
5065,AR,Izard County,18.71016836
5067,AR,Jackson County,13.2559305
5069,AR,Jefferson County,20.64117111
5071,AR,Johnson County,18.07736721
5073,AR,Lafayette County,9.210233593
5075,AR,Lawrence County,14.03733529
5077,AR,Lee County,6.865177833
5079,AR,Lincoln County,10.87644118
5081,AR,Little River County,17.44117299
5083,AR,Logan County,15.54898093
5085,AR,Lonoke County,20.99421137
5087,AR,Madison County,12.83851555
5089,AR,Marion County,15.43897381
5091,AR,Miller County,16.04724464
5093,AR,Mississippi County,14.17826976
5095,AR,Monroe County,15.63820795
5097,AR,Montgomery County,16.84598832
5099,AR,Nevada County,11.67023555
5101,AR,Newton County,14.25291754
5103,AR,Ouachita County,15.09482153
5105,AR,Perry County,17.13180437
5107,AR,Phillips County,14.53220859
5109,AR,Pike County,19.56000564
5111,AR,Poinsett County,11.92494338
5113,AR,Polk County,17.20191953
5115,AR,Pope County,24.63614458
5117,AR,Prairie County,16.70600135
5119,AR,Pulaski County,37.36105309
5121,AR,Randolph County,14.47914221
5123,AR,St. Francis County,12.90342563
5125,AR,Saline County,28.49960398
5127,AR,Scott County,10.82802548
5129,AR,Searcy County,13.68861024
5131,AR,Sebastian County,24.38304814
5133,AR,Sevier County,10.92936028
5135,AR,Sharp County,11.9284762
5137,AR,Stone County,15.38293217
5139,AR,Union County,18.91933145
5141,AR,Van Buren County,15.78061911
5143,AR,Washington County,34.61428867
5145,AR,White County,19.80297113
5147,AR,Woodruff County,15.89085072
5149,AR,Yell County,14.31790101
6000,CA,California,36.50305751
6001,CA,Alameda County,51.4693647
6003,CA,Alpine County,42.10526316
6005,CA,Amador County,22.44339158
6007,CA,Butte County,31.72056427
6009,CA,Calaveras County,22.18580154
6011,CA,Colusa County,14.52397996
6013,CA,Contra Costa County,44.91015897
6015,CA,Del Norte County,20.97416008
6017,CA,El Dorado County,38.82410175
6019,CA,Fresno County,23.85449591
6021,CA,Glenn County,16.48233652
6023,CA,Humboldt County,32.08513824
6025,CA,Imperial County,16.10026948
6027,CA,Inyo County,31.81981723
6029,CA,Kern County,18.57357599
6031,CA,Kings County,13.91909571
6033,CA,Lake County,17.74394605
6035,CA,Lassen County,13.212724
6037,CA,Los Angeles County,35.47099242
6039,CA,Madera County,17.12878493
6041,CA,Marin County,60.45916621
6043,CA,Mariposa County,30.86170848
6045,CA,Mendocino County,24.92368578
6047,CA,Merced County,14.78021529
6049,CA,Modoc County,23.00403852
6051,CA,Mono County,34.32124352
6053,CA,Monterey County,27.88372709
6055,CA,Napa County,38.51712542
6057,CA,Nevada County,39.46003256
6059,CA,Orange County,43.40103767
6061,CA,Placer County,42.89064399
6063,CA,Plumas County,20.46291426
6065,CA,Riverside County,25.08401769
6067,CA,Sacramento County,33.28378227
6069,CA,San Benito County,22.38665132
6071,CA,San Bernardino County,22.90144034
6073,CA,San Diego County,42.08987125
6075,CA,San Francisco County,60.12076421
6077,CA,San Joaquin County,21.57295804
6079,CA,San Luis Obispo County,39.20140039
6081,CA,San Mateo County,53.07123407
6083,CA,Santa Barbara County,35.86993995
6085,CA,Santa Clara County,55.86562705
6087,CA,Santa Cruz County,43.55796468
6089,CA,Shasta County,23.26668579
6091,CA,Sierra County,24.4047619
6093,CA,Siskiyou County,23.08361557
6095,CA,Solano County,28.36704144
6097,CA,Sonoma County,37.84693852
6099,CA,Stanislaus County,19.1369457
6101,CA,Sutter County,20.20745235
6103,CA,Tehama County,18.84319224
6105,CA,Trinity County,18.04651919
6107,CA,Tulare County,15.83949091
6109,CA,Tuolumne County,23.9444683
6111,CA,Ventura County,35.6657604
6113,CA,Yolo County,44.08385081
6115,CA,Yuba County,17.89640712
8000,CO,Colorado,44.72798793
8001,CO,Adams County,28.02254992
8003,CO,Alamosa County,29.30637574
8005,CO,Arapahoe County,45.74243117
8007,CO,Archuleta County,40.71008094
8009,CO,Baca County,24.07704655
8011,CO,Bent County,14.17359187
8013,CO,Boulder County,63.90899548
8014,CO,Broomfield County,58.64371179
8015,CO,Chaffee County,45.42469214
8017,CO,Cheyenne County,24.39613527
8019,CO,Clear Creek County,56.26255861
8021,CO,Conejos County,23.27979377
8023,CO,Costilla County,27.84810127
8025,CO,Crowley County,12.65613952
8027,CO,Custer County,35.26785714
8029,CO,Delta County,25.6812195
8031,CO,Denver County,55.64666503
8033,CO,Dolores County,24.70767666
8035,CO,Douglas County,60.93381556
8037,CO,Eagle County,50.26926834
8039,CO,Elbert County,35.17234346
8041,CO,El Paso County,41.12205226
8043,CO,Fremont County,21.03674404
8045,CO,Garfield County,33.4088936
8047,CO,Gilpin County,48.37764287
8049,CO,Grand County,41.78009618
8051,CO,Gunnison County,59.26542777
8053,CO,Hinsdale County,47.05128205
8055,CO,Huerfano County,27.0612708
8057,CO,Jackson County,27.53888381
8059,CO,Jefferson County,50.74602398
8061,CO,Kiowa County,20.63492063
8063,CO,Kit Carson County,18.43610935
8065,CO,Lake County,46.07824244
8067,CO,La Plata County,47.25968717
8069,CO,Larimer County,51.73804084
8071,CO,Las Animas County,17.26598441
8073,CO,Lincoln County,25.71564885
8075,CO,Logan County,18.90750759
8077,CO,Mesa County,30.62717676
8079,CO,Mineral County,54.53216374
8081,CO,Moffat County,21.00496963
8083,CO,Montezuma County,30.81438004
8085,CO,Montrose County,28.26628352
8087,CO,Morgan County,17.56522652
8089,CO,Otero County,18.80206267
8091,CO,Ouray County,53.96270396
8093,CO,Park County,38.82613817
8095,CO,Phillips County,25.6546238
8097,CO,Pitkin County,63.96954542
8099,CO,Prowers County,18.83905013
8101,CO,Pueblo County,25.01743879
8103,CO,Rio Blanco County,26.58986175
8105,CO,Rio Grande County,31.10735418
8107,CO,Routt County,52.12259157
8109,CO,Saguache County,30.71146245
8111,CO,San Juan County,47.22719141
8113,CO,San Miguel County,65.20638937
8115,CO,Sedgwick County,27.3989137
8117,CO,Summit County,52.46638638
8119,CO,Teller County,37.82983719
8121,CO,Washington County,24.88276671
8123,CO,Weld County,31.95622435
8125,CO,Yuma County,25.968523
9000,CT,Connecticut,41.9449135
