FIPS,State,County,Population_2023
1000,AL,Alabama,5108468.0
1001,AL,Autauga County,60342.0
1003,AL,Baldwin County,253507.0
1005,AL,Barbour County,24585.0
1007,AL,Bibb County,21868.0
1009,AL,Blount County,59816.0
1011,AL,Bullock County,9897.0
1013,AL,Butler County,18382.0
1015,AL,Calhoun County,116429.0
1017,AL,Chambers County,34079.0
1019,AL,Cherokee County,25666.0
1021,AL,Chilton County,46431.0
1023,AL,Choctaw County,12252.0
1025,AL,Clarke County,22337.0
1027,AL,Clay County,14111.0
1029,AL,Cleburne County,15639.0
1031,AL,Coffee County,55643.0
1033,AL,Colbert County,58361.0
1035,AL,Conecuh County,11174.0
1037,AL,Coosa County,10268.0
1039,AL,Covington County,37952.0
1041,AL,Crenshaw County,13101.0
1043,AL,Cullman County,92016.0
1045,AL,Dale County,49871.0
1047,AL,Dallas County,36165.0
1049,AL,DeKalb County,72569.0
1051,AL,Elmore County,90441.0
1053,AL,Escambia County,36558.0
1055,AL,Etowah County,103241.0
1057,AL,Fayette County,15967.0
1059,AL,Franklin County,31802.0
1061,AL,Geneva County,26988.0
1063,AL,Greene County,7341.0
1065,AL,Hale County,14888.0
1067,AL,Henry County,17899.0
1069,AL,Houston County,108462.0
1071,AL,Jackson County,53467.0
1073,AL,Jefferson County,662895.0
1075,AL,Lamar County,13661.0
1077,AL,Lauderdale County,96814.0
1079,AL,Lawrence County,33502.0
1081,AL,Lee County,183215.0
1083,AL,Limestone County,114654.0
1085,AL,Lowndes County,9717.0
1087,AL,Macon County,18370.0
1089,AL,Madison County,412600.0
1091,AL,Marengo County,18684.0
1093,AL,Marion County,29244.0
1095,AL,Marshall County,100756.0
1097,AL,Mobile County,411640.0
1099,AL,Monroe County,19229.0
1101,AL,Montgomery County,224980.0
1103,AL,Morgan County,125133.0
1105,AL,Perry County,7738.0
1107,AL,Pickens County,18688.0
1109,AL,Pike County,33137.0
1111,AL,Randolph County,22786.0
1113,AL,Russell County,58744.0
1115,AL,St. Clair County,95552.0
1117,AL,Shelby County,233000.0
1119,AL,Sumter County,11727.0
1121,AL,Talladega County,81132.0
1123,AL,Tallapoosa County,40677.0
1125,AL,Tuscaloosa County,237373.0
1127,AL,Walker County,64728.0
1129,AL,Washington County,15022.0
1131,AL,Wilcox County,9944.0
1133,AL,Winston County,23611.0
2000,AK,Alaska,733406.0
2013,AK,Aleutians East Borough,3461.0
2016,AK,Aleutians West Census Area,5160.0
2020,AK,Anchorage Municipality,286075.0
2050,AK,Bethel Census Area,18224.0
2060,AK,Bristol Bay Borough,844.0
2063,AK,Chugach Census Area,6769.0
2066,AK,Copper River Census Area,2674.0
2068,AK,Denali Borough,1584.0
2070,AK,Dillingham Census Area,4607.0
