FIPS,State,County,Unemployment_Rate
1000,AL,Alabama,2.5
1001,AL,"Autauga County, AL",2.2
1003,AL,"Baldwin County, AL",2.3
1005,AL,"Barbour County, AL",4.4
1007,AL,"Bibb County, AL",2.5
1009,AL,"Blount County, AL",2.1
1011,AL,"Bullock County, AL",2.4
1013,AL,"Butler County, AL",2.9
1015,AL,"Calhoun County, AL",2.8
1017,AL,"Chambers County, AL",2.4
1019,AL,"Cherokee County, AL",2.4
1021,AL,"Chilton County, AL",2.2
1023,AL,"Choctaw County, AL",4.0
1025,AL,"Clarke County, AL",5.0
1027,AL,"Clay County, AL",2.4
1029,AL,"Cleburne County, AL",2.3
1031,AL,"Coffee County, AL",2.5
1033,AL,"Colbert County, AL",2.9
1035,AL,"Conecuh County, AL",3.5
1037,AL,"Coosa County, AL",2.6
1039,AL,"Covington County, AL",2.7
1041,AL,"Crenshaw County, AL",2.7
1043,AL,"Cullman County, AL",2.0
1045,AL,"Dale County, AL",2.5
1047,AL,"Dallas County, AL",5.4
1049,AL,"DeKalb County, AL",2.3
1051,AL,"Elmore County, AL",2.1
1053,AL,"Escambia County, AL",3.1
1055,AL,"Etowah County, AL",2.8
1057,AL,"Fayette County, AL",2.9
1059,AL,"Franklin County, AL",2.6
1061,AL,"Geneva County, AL",2.4
1063,AL,"Greene County, AL",4.8
1065,AL,"Hale County, AL",3.3
1067,AL,"Henry County, AL",2.6
1069,AL,"Houston County, AL",2.6
1071,AL,"Jackson County, AL",2.5
1073,AL,"Jefferson County, AL",2.5
1075,AL,"Lamar County, AL",2.8
1077,AL,"Lauderdale County, AL",2.5
1079,AL,"Lawrence County, AL",2.3
1081,AL,"Lee County, AL",2.3
1083,AL,"Limestone County, AL",2.1
1085,AL,"Lowndes County, AL",4.6
1087,AL,"Macon County, AL",3.2
1089,AL,"Madison County, AL",2.0
1091,AL,"Marengo County, AL",3.3
1093,AL,"Marion County, AL",2.9
1095,AL,"Marshall County, AL",2.1
1097,AL,"Mobile County, AL",3.1
1099,AL,"Monroe County, AL",4.3
1101,AL,"Montgomery County, AL",2.8
1103,AL,"Morgan County, AL",2.0
1105,AL,"Perry County, AL",5.0
1107,AL,"Pickens County, AL",3.0
1109,AL,"Pike County, AL",2.7
1111,AL,"Randolph County, AL",2.4
1113,AL,"Russell County, AL",2.8
1115,AL,"St. Clair County, AL",2.1
1117,AL,"Shelby County, AL",1.8
1119,AL,"Sumter County, AL",3.7
1121,AL,"Talladega County, AL",2.8
1123,AL,"Tallapoosa County, AL",2.5
1125,AL,"Tuscaloosa County, AL",2.3
1127,AL,"Walker County, AL",2.6
1129,AL,"Washington County, AL",2.6
1131,AL,"Wilcox County, AL",8.0
1133,AL,"Winston County, AL",2.7
2000,AK,Alaska,4.2
2013,AK,"Aleutians East Borough, AK",2.1
2016,AK,"Aleutians West Census Area, AK",3.0
2020,AK,"Anchorage Borough/municipality, AK",3.4
2050,AK,"Bethel Census Area, AK",9.7
2060,AK,"Bristol Bay Borough, AK",3.7
2063,AK,"Chugach Census Area, AK",4.7
2066,AK,"Copper River Census Area, AK",7.6
2068,AK,"Denali Borough, AK",6.0
